ローゼス	Rozes	Water Country
水の国	Water Country	Rozes
ハイランド	Hyland	Sun Country
太陽の国	Sun Country	Hyland
海底神殿	Undersea Temple	Dungeon where Noah is sealed
カナンの里	Kanan Village	Tree Country
月の国	Moon Country	Laphroaig
木の国	Tree Country	Spring Log
マッカレン	Makkaren	MC's base city
スプリングローグ	Spring Log	Tree Country
冥府	Underworld
ホルン	Horun	Rozez royal capital
グレイトキース	Great Keith	Fire Country
火の国	Fire Country	Greatkeys
商業の国	Commerce Country	Cameron
キャメロン	Cameron	Commerce Country
王都	Royal Capital
ガムラン	Gamelan	Fire Country's Capital
土の国	Earth Country	Carillan
カリラーン	Carillan	Earth Country
ラフィロイグ	Laphroaig	Moon Country
貧民街	slums
迷宮	Dungeon
シンフォニア	Symphonia	Sun Country's Capital
魔大陸	Demon Continent
灰の毒湖	Ash Poison Lake	Demon Continent
幻影砂漠	Illusion Desert	Demon Continent
魔の森	Demon Forest	Near Makkaren
コルネット	Cornet	Moon Country's Capital
ムーンパレス	Moon Palace
月の王城	Moon Palace
ハーブン諸島	Heaven Islands	Near Underwater Temple
ラビュリントス	Labyrinthos
エデン	Eden	Floating Garden
アスクレウス	Ascraeus	Related to Altena
竜の巣	Dragon's Nest
ブラックバレル	Black Barrel	Fort at the front with DK's Army
