高月	Takatsuki	MC
マコト	Makoto	MC
ノア	Noah	MC's Goddess
ティターン	Titan	MC's Goddess
ルーシー	Lucy	1st Heroine
ウォーカー	Walker	1st Heroine
ルーシー・J・ウォーカー	Lucy J Walker	1st Heroine
アヤ	Aya	2nd Heroine
佐々木	Sasaki	2nd Heroine
佐々木アヤ	Sasaki Aya	2nd Heroine
ソフィア	Sophia	3rd Heroine, Water Oracle
ソフィア・エイル・ローゼス	Sophia Eir Rozes	3rd Heroine, Water Oracle
エイル	Eir	Water Goddess
フリアエ	Furiae	Moon Oracle
フリアエ・ナイア・ラフィロイグ	Furiae Naia Laphroaig	Moon Oracle
ナイア	Naia	Moon Goddess
ノエル	Noel	Sun Oracle
ノエル・アルテナ・ハイランド	Noel Altena Highland	Sun Oracle
アルテナ	Altena	Sun Goddess
大賢者様	Great Sage-sama	Sun Country's Great Sage
賢者	Sage	Sun Country's Great Sage
白の大賢者	White Great Sage	Sun Country's Great Sage
レオナード	Leonardo	Water Country's Hero
レオナード・エイル・ローゼス	Leonardo Eir Rozes	Water Country's Hero
オリュンポス	Olympus	Holy gods
ジョニィ	Johnny	Legendary Elf Mage
ロザリー	Rozalie	Lucy's mother
ツイ	Tsui	Furiae's black cat
ジャネット	Janet	Lightning Hero's imouto
マキシミリアン	Maximillian	Wind Tree Hero
ラガヴーリン	Ragvarin
ジェラルド	Gerald	Lightning Hero
ウンディーネ	Undine	Great Water Spirit
マリー	Marie	Makkaren's Guild's recepcionist, likes MC
フローナ	Flona	Tree Oracle
フレイア	Freiya	Tree Goddess
バランタイン	Valentine	Janet and Gerald family name
イザク	Izak	Archbishop of Snake Religion
桜井	Sakurai	Sun Hero
ティフォン	Typhon	Snake God of Wisdom
イヴリース	Ivlis	Great Demon King
アンナ	Anna	Saintess of the past
アベル	Abel	Hero of the past
アスカロン	Ascalon	Water Holy Sword
カリバーン	Caliburn	Sun Holy Sword
クレラント	Clarent	Tree Holy Sword
イラ	Ira	Destiny Goddess
シューリ	Shuri	Vampire Demon sacrificed to Eir
ザガン	Zagan	Beast King
ソール	Sol	Fire Goddess
オルガ・ソール・タリスカー	Olga Sol Talisker	Burning Hero
オルガ	Olga	Burning Hero
ニナ	Nina	Fujiyan's fianceé bunny girl
ケイコ	Keiko	Slave Classmate, Fuji-yan's childhood friend
河北	Kawakita	Slave Classmate, Fuji-yan's childhood friend
藤原	Fujiwara	Fuji-yan
北山	Kitayama	Bully guy
岡田	Okada	Keiko's boyfriend, Bully
ブナハーブン	Bunnahabhain
マルタン	Maltan	Aristocrat that wants Keiko
ダリア	Dahlia	Fire Oracle
ダリア・ソール・グレイトキース	Dahlia Sol Greatkeith
タリスカー	Talisker	Fire Country General, hero's father
ミチオ	Michio	Fujiwara Michio, Fuji-yan
ゲーアハルト	Gehard	Talisker, Burning Hero's father
バルムンク	Balmung	Fire Holy Sword
クリス	Chris	Fujiyan's main wife
クリス	Chris	Fujiyan's main wife
ピーター	Peter	Mafia guy
エステル	Esther	Destiny Oracle
オルト	Orto	Sun country, 1st Divicion captain
アレク	Alex	Sun Country's National Hero
アレクサンドル	Alexassandro	Sun Country's National Hero
リョウスケ	Ryousuke	Sakurai, Light Hero
ユーウェイン	Ywain	General of the Highland Army
ブラッドノック	Bloodnock	General of the Highland Army
ハヴェル	Havel	Furiae's acquaitance from Moon Country
横山	Yokoyama	Sakurai assistant, female Knight
横山サキ	Yokoyama Saki	Sakurai assistant, female Knight
エミリー	Emily	Lucy's friend, orphanage
カストール	Kastor	Sun Country's friendly Mafia
ユピテル	Jupiter
クロノス	Chronos
サラマンダー	Salamander
シルフ	Sylph
ノーム	Gnome
タカツキ	Takatsuki	MC
モモ	Momo	Great Sage-sama
ヴォルフ	Wolff	Earth Hero Past
ジュリエッタ	Julietta	Tree Hero Past
デッケル	Deckel	Iron Hero Past
ディーア	Dia	Named Great Water Spirit
ヘルエムメルク	Hel'emmelek
アロンダイト	Aroundight	Light Holy Sword
ネヴィア	Nevia	Witch of Disaster
ネプトゥス	Neptus	Sea God
フレイヤ	Freiya	should be フレイア
ネプトゥス	Neptus	Sea God
ゴエティア	Goetia	Bifrons's family name
イヴァリース	Ivalice	Ivlis, Great Demon King's name
ケレス	Keles	Earth Goddess
