女神	Goddess
エルフ	Elf
ラミア	Lamia
魔族	Demon
人類	Mankind
吸血鬼	Vampire
ヴァンパイア	Vampire
アンデッド	Undead
龍人	Dragonewt
大精霊	Great Spirit
人間	Human
エンジェル	Angel
天使	Angel
精霊	Spirit
ペガサス	Pegasus
ハーピー	Harpy
鳥女	Harpy
魔人族	Majin Race
魔人	Majin
砂竜	Sand Dragons
不死者	Undead
人族	human race
獣人族	beastkin race
亜人	Demi-Human
飛竜	Flying Dragon
グリフォン	Griffon
女騎士	Female Knight
古竜	Ancient Dragon
エンシェント	Ancient
ドラゴン	Dragon
ベヒーモス	Behemoth
熾天使	Seraph
半神	Demi-God
獣人	Beastkin
蛇女	Lamia
蜘蛛女	Arachne
アラクネ	Arachne
聖竜	Holy Dragon
竜族	dragons
白竜	White Dragon
天翼	Celestial
天翼族	Celestial race
メガロドン	Megalodon	Ancient Giant Shark
古代巨大鮫	Ancient Giant Shark	Megalodon
海竜	Sea Dragon
リヴァイアサン	Leviathan
神獣	Divine Beast
ダークエルフ	Dark Elf
オルトロス	Orthros
