RPGプレイヤー	RPG Player	Takatsuki
明鏡止水	Clear Mind	Takatsuki
水魔法	Water Magic	Takatsuki
初級	Beginner Class	Takatsuki
大魔道	Great Magic	Lucy
火魔法	Fire Magic	Lucy
王級	Royal Class	Lucy
アクションゲームプレイヤー	Action Game Player	Sa-san
変化	Transformation	Sa-san
進化	Evolution	Sa-san
冷血	Cold Blooded	Sophia
巫女	Oracle
太陽魔法	Sun Magic	Noel
聖級	Saint Class	Noel
スキル	Skill
ユニーク	Unique
固有	Unique
戦士	Warrior
騎士	Knight
同調	Sync
テレポート	Teleport
空間転移	Teleport
運命魔法	Fate Magic
精霊纏い	Spirit Dressing
精霊召喚	Spirit Summoning
生贄術	Sacrifice Technique
供物	Offering
隠密	Stealth
死霊魔法	Necromancy
ネクロマンシー	Necromancy
聞き耳	Listening
索敵	Reconnaissance
回避	Evade
雷魔法	Lightning Magic
サンダーボルト	Thunderbolt
冷静	Calm
火弾	Fireball
未来視	Future Sight
威圧	Pressure
警告音	Alert
アラート	Alert
暗視	Night Vision
地図	Map
千里眼	Clairvoyance	Far sight
ヒール	Heal
ウォーター	Water
癒しの水	Heal Water
能力	Skill
無敵時間	Invincibility Time
スーパースター	Super Star
魔法	Magic
召喚	Summoning
弓士	Archer
不死鳥	Phoenix
蘇生	Resurrection
死の呪い	Death Curse
精霊化	Spiritualization
神気	Divinity
魅了眼	Charming Eyes
自爆	Self-Explosion
炎弾	Fireball
青龍	Blue Dragon
氷の家	Ice House
隕石落とし	Meteor Drop
太陽光	Sunlight
暗闇	darkness
神級魔法	Divine-class Magic
ソニック	Sonic
スラッシュ	Slash
神級	Divine Class
水中	Underwater
呼吸	breathing
会話	conversation
水流	Water Current
深海	Deep Sea
水深	Water Depth
大瀑布	Great Waterfall
エクスプロージョン	Explosion
聖剣技	Holy Sword Technique
結界	Barrier
反射	Reflective
契約	Contract
回復	Recovery
強化	Buff
残機	Remaining Lives
光の剣	Light Sword
再生	Regeneration
鑑定	Appraisal
精霊兵器	Spirit Weapon
読心	Mind Reading
魅了	Charm
土魔法	Earth Magic
睡魔	Sleepness
危険	Danger
感知	Perception
・霧	・Fog	Water Magic
神託	Oracle	God's trust
水面歩行	Water Walking
時魔法	Time Magic
精神加速	Mind Accel
マインド	Mind
アクセル	Accel
アクション	Action
プレイヤー	Player
シュタッ	Dash
ジャンプ	Jump
木魔法	Tree Magic
水牢	Waterboard
水牢	Waterboard
コメットフォール	Comet Fall
彗星落とし	Comet Drop
地獄の世界	World of Hell
コキュートス	Cocytus
ミカエル	Michael	Sun Angel
闇魔法	Darkness Magic
光刃	Light Blade
暴風雪	Blizzard	微睡みの暴風雪
忘却	Memory Lapse
