勇者	Hero	Yuusha
童貞	Virgin
通称	nickname
装備	Equipment
職業	Job
ステータス	Status
パーティー	Party
蛇の教団	Snake Religion
留守番	house-watching
直参	direct subordinate
超級魔法	Super-class Magic
無詠唱	Chantless
超級	Super-Class
瘴気	miasma
聖剣	Holy Sword
神器	God Vessel
神殺しの刃	Godslaughter Blade
加護	Blessings
邪神	Jashin	Evil God
悪神	Akujin	Evil God
精霊使い	Spirit User
アラビアン	arabian
最上回復薬	Elixir
キツイ	tight
魂書	Soul Book
魔力	Mana
権力者	Authority
魔物の暴走	Stampede
スタンピード	Stampede
魔物暴走	Stampede
イライラ	irritated
恋敵	Love Rival
クリスタル	Crystal
幸運	Fortune
ギフト	Gift	Gift Skill given by God
神域	God's Realm
神界戦争	World Gods War
神界戦	World Gods
風の大精霊	Great Wind Spirit
土の大精霊	Great Earth Spirit
火の大精霊	Great Fire Spirit
奇跡	miracle
姉様	nee-sama
星脈	Star Veins
幼馴染	childhood friend
婚約者	fiancée
運命	Destiny
エーテル	Ether	something beyond Mana?
霊気	Reiki	Ether
アニマ	Anima	Something beyond Ether maybe? Related to Divinity
商会	Company
英雄	Eiyuu
