ギルドマスター	Guild Master
魔境	Devil Nests
冒険者ギルド	Adventurer’s Guild
冒険者	adventurer
魔石	Magic Stone
ブレイバーズ	Bravers
探索者ギルド	Explorers’ Guild
ヴィダ神殿	Church of Vida
サウロン解放戦線	Sauron Liberation Front
神治時代	age of the gods
スーツ	Suit
ダンジョン	Dungeon
トレーニング	Training
パワード	Powered
アイドル	Idol
ライフル	Rifle
ブラック	Black
死属性	death attribute
時間属性	time attribute
ミサイル	Missile
アーティファクト	Artifact
フリル	Frills
レース	Laces
ライフデッド	Life-dead
リボン	Ribbon
クリーム	Cream
日蝕	Eclipse
英霊	Heroic spirit
マンション	Mansion
人種	Human
女性	female
テロリスト	terrorist
ツインテール	twintail
グレーゾーン	greyzone
ステータス	Status
パーティー	party
メンバー	member
レベル	level
スキル	skill
コントロール	control
パッシブ	Passive
アクティブ	Active
ユニーク	Unique
ジョブ	Job
ジョブ履歴	Job History
二つ名	secondary name
名前	name
種族	race
年齢	age
無し	none
から覚醒	awakened into
チェンジ	change
システム	system
ニュース	news
チャンス	chance
イメージ	image
トラウマ	trauma
メートル	meter
シミュレート	simulator
なし	なし	none
歳	age
ニンジャ	ninja
ランク	Rank
デーモン	Demon
キング	King	Braga
テスト	test
アジト	hideout
ギルド	guild
亜神	Demi-God
ケーキ	Cake
バター	Butter
チート	Cheat
ママ	Mama
パパ	Papa
母さん	kaa-san
リーダー	leader
ファンタジー	fantasy
ロボット	robot
パンダ	Panda
ゲーム	game
トラブル	trouble
エラー	error
メンテナンス	maintenance
アクセス	access
夫妻	couple
レジスタンス	Resistance
コミュニティ	community
アマゾン	Amazon
ワイン	wine
ルーツ	roots
ポイズン	poison
マジック	magic
アイテム	item
コンプレックス	complex
レベリング	levelling
タックル	tackle
ハリケーン	Hurricane
ノウハウ	Knowkow
ダメージ	Damage
カリスマ	charisma
ライバル	Rival
妹	Imouto	Little sister
サバンナ	Savanna
級	Class	Adventurer
神像	Idol Statue
微妙に	Slightly
形態	form
貴婦人	Lady
ランキング	Ranking
商会	Chamber of Commerce
コンサート	Concert
トリオ	Trio
ステージ	Stage
スタンダード	Standard
グッズ	goods
シンプル	simple
クラスメイト	classmate
グループ	group
天才	Genius	tensai
ブラッド	Blood
ガーデン	garden
マスター	Master
シーズン	Season
お料理	food
家	家	House
家宝	Heirloom
美少女	Bishoujo	Pretty Girl
神殿	temple
ゼロ	Zero
ダンス	dance
クローゼット	closet
モザイク	mosaic
メッセージ	message
ホットライン	hotline
テレパシー	Telepathy
ターゲット	target
ドレス	dress
フィールド	field
ワーク	work
先生	sensei	teacher
プロダクション	production
スカウト	scout
クラス	class
プロデューサ	Producer
リベンジ	revenge
ショック	shock
ベテラン	veteran
フェリー	ferry
マッチョ	macho
アルバイト	Part time job	Arubaito
ペット	Pet
ショップ	Shop
バスト	Bust
サイズ	Size
タイプ	Type
サポート	Suport
キャラクター	Character
コードネーム	Codename
シップ	Ship
スペース	space
ニュアンス	Nuance
アップ	up
テンション	tension
ボイス	voice
タイミング	timing
クリア	clear
デビュー	debut
ミスター	mister
オフロード	offroad
イベント	event
ハイブリッド	Hybrid
ネット	net	internet
トランス	trance
フォロー	follow
トンネル	tunnel
ルール	rule
プライベート	private
セキュリティ	security
負けて	lose
アンコール	Uncool
ドーム	dome
パーセント	percent
エネルギー	energy
リビング	living
マスメディア	mass media
レーザー	laser
ソナー	sonar
パターン	pattern
イマジナリー	imaginary
フレンド	friend
オーディション	Audition
センター	center
ロリコン	lolicon
マネージャー	manager
ヒーロー	hero
メリット	merit
ファン	fan
スキャンダル	scandal
ペース	pace
従魔	Tamed Monster	at least in regards those from Van's party in Orbaum
シロップ	syrup
スパイ	spy
プライド	pride
アピール	appeal
リタイヤ	retired
モード	mode
ハード	hard
ストレス	stress
ニュー	new
フェイス	face
ランクイン	Rank In
スリーサイズ	Three Sizes
レリーフ	relief
アタッカー	attacker
マニア	mania
ストリート	Street
レッスン	lesson
シスター	Nun
ボディースーツ	Bodysuit
デザイン	design
デザイナー	designer
コスチューム	costume
ハサミ	scissor
サラミ	Salami
ベーコン	Bacon
パスタ	Pasta
フリット	Fritto
ピザ	Pizza
を統合	integrated
シールド	Shield
バック	Back
ホーム	home
バースデー	birthday
シャンパン	champagne
ヒューマン	human
カジノ	cassino
バニーガール	Bunny Girl
フレンドリー	friendly
ドリル	drill
ブラッシング	brushing
クーデター	Coup d'état
ミルク	milk
レモン	lemon
コーヒー	coffee
パンケーキ	pancake
姉妹	sisters
サービス	service
ジュース	juice
パンプ	pump
血肉	flesh and blood
パワー	Power
スピード	Speed
リスク	risk
ミス	miss
プラス	plus
オリジナル	original
リサイクル	recycle
アジア	Asia
フランケンシュタイン	Frankenstein
エキスパート	Expert
エリート	Elite
コンタクト	Contact
トレーナー	Trainer
ダイエット	Diet
レスキュー	rescue
クレジット	Credit
カード	Card
ロデオ	rodeo
ガッデム	Goddamn
ヤスリ	rasp
信者	believer
精神的な	psychological
恋人	lover
魔術	magic
家族	family
病欠	sick leave
仮病	feign illness
リターン	return
コネクション	connection
融和派	Reconciliation Faction
フローティング	floating
パフォーマンス	Show
原理主義	Fundamentalism
味方	ally
悪い	悪い	bad
ゲップ	burp	Basdia is used to help Bakunawa
防衛隊	Defense Corps
肉塊	chunk of meat	Legion
寝ているふり	pretending to sleep
本体	main body
ユニット	Unit
ジャンキー	Junkie
スリル	Thrill
水銀	Mercury
水銀鏡	Mercury Mirror
プロポーション	proportion
製作者	producer
ボディー	body
ランゲージ	language
コミュニケーション	communication
モノリス	monolith
レザー	leather
ファッション	fashion
モヒカン	mohawk
パンク	Punk
ガード	Guard
イソギンチャク	Sea Anemone
サンゴ	Coral
アップグレード	upgrade
病院	hospital
チーズ	cheese
生命力	Vitality	HP
魔力	Mana	MP
体力	Defense	DEF
知力	Intelligence	INT
臆病	coward
バックファイア	backfire
デリバリー	delivery
ボッチ	Bocchi	SAD
メタリック	metallic
ラバースーツ	rubbersuit
オーダーメイド	Order-made
ニョロニョロ	NYORONYORO
リクエスト	request
コスプレ	cosplay
エプロン	apron
フォーマル	formal
スタイル	style
ペインティング	painting
シャドウ	Shadow
ボクシング	Boxing
カモフラージュ	camouflage
ワンツー	one two
ギャング	gang
マフィア	mafia
ギブ	give
惨殺	slaughter
滅殺	annihilate
トップ	top
コピーキャット	copycat
マーク	mark
スタミナ	Stamina
邪神派吸血鬼	Vampires serving Evil Gods
バランス	balance
スポンサー	sponsor
リフォーム	reform
アスリート	athlete
芸能	Entertainment
芸能界	Entertainment World
問題無し	no problem
メディア	media
才能	aptitude
ストーカー	stalker
アクション	action
サンキュー	Thank you
マスコミ	mass media
アルコール	alcohol
スタッフ	staff
ストレート	straight
マッドサイエンティスト	Mad Scientist
マッド	Mad
財産	property
ニヤリ	grinning
カリキュラム	curriculum
ワクワク	Super Exciting
ブロック	block
コース	course
黙れ	Shut Up
パニック	panic
フード	hood
チェック	check
プログラム	program
八つ当たり	vent
羽織	Haori	japanese kimono-like clothes
パーツ	parts
病人	sick
パズル	puzzle
ピース	piece
スリープ	sleep
コールド	cold
ウィルス	virus
ローコスト	low cost
ジンクス	jinx
縦ロール	vertical drill	Tarea's hair
ポジション	position
ピアス	piercing
テーマ	theme
インスピレーション	inspiration
コレクション	collection
悲鳴	screech
スーパー	super
コンピューター	computer
発展	development
記録	record
本神殿	Main Temple
チーム	team
今夜	tonight
貴族	Noble
ソング	song
ティー	tea
ハーブ	herb
リーズナブル	reasonable
アシスタント	assistant
カラフル	colorful
ピンク	pink
マナー	manner
ヒット＆アウェイ	Hit & Run
ブラフ	bluff
空間	space
クレイジー	crazy
野郎	bastard
馬鹿	idiot
イカレ	crazy
データ	data
グレー	grey
レポート	report
羽化	grown wings
