魔王の肉体	Demon King's Body	"Self Translated"
魔王の鰭	Demon King's Fin
魔王の毒腺	Demon King's venom gland
魔王の胃	Demon King's stomach
魔王の骨	Demon King's bones
魔王の外骨格	Demon King's exoskeleton
魔王の皮膚	Demon King's skin
魔王の宝珠	Demon King's treasure orb
魔王の神経	Demon King's nerves
魔王の魔眼	Demon King's Demon Eye
魔王の被膜	Demon King's membrane
魔王の羽	Demon King's wings
魔王の血	Demon King's Blood
魔王の角	Demon King's Horns
魔王の吸盤	Demon King's Suckers
魔王の墨袋	Demon King's Ink Sacs
魔王の甲羅	Demon King's Carapace
魔王の臭腺	Demon King's Scent glands
魔王の発光器官	Demon King's Luminescent organs
魔王の脂肪	Demon King's Blubber
魔王の顎	Demon King's Jaws
魔王の眼球	Demon King's Eyeballs
魔王の口吻	Demon King's Proboscis
魔王の体毛	Demon King's Fur
魔王の節足	Demon King's Jointed legs
魔王の触角	Demon King's Antenna
魔王の鉤爪	Demon King's Claws
