霊体変化：雷	Spirit Form Transformation： Thunder
猛毒分泌：牙爪舌	Deadly Venom Secretion:(Fangs, Claws, Tongue)
魔術姫	Magical Princess
魔力回復速度超上昇	Super Mana Recovery Rate Increase
杖装備時魔術力増強：中	Strengthened Magic Power when Equipped with: Staff
能力値強化：月光	Enhance Abilities: Moonlight
光姫魔術	Light Princess Magic
魔術精密制御	Precise Mana Control
鬼女王	Demon Queen
変身鬼妃	Transformation Demon Queen
斧装備時攻撃力強化：極大	Enhanced Attack Power when Equipped with Axe
鬼妃斧刃術	Demon Queen Axe Cutting Technique
御使い降魔	Demon Descent
変身装具の守護聖人	Patron Saint of Transforming Equipment
マロル	Marol
ウルミ	Urmi
スルガ	Surga
花火師	Fireworks
念動力士	Psychic Power User
念動戦士	Psychic Warrior
念動力強化	Small Mental Power Strengthening
調合	Compounding
花火作成	Fireworks Creation
全方向視覚	Omnidirectional Vision
フォースビジョン	Force Vision
念動力	Mental Power
自己強化：祖	Self-Reinforcement: Ancestor
杖装備時魔術攻撃力強化	Enhanced Magic and Attack Power when Equipped with	Staff
結界限界突破	Surpass Limits Barrier
無手時攻撃力増強	Strengthened Attack Power Unarmed
無手時攻撃力増強：小	Strengthened Attack Power Unarmed: small
魔砲発動時攻撃力強化：極大	Strengthened Attack Power while activating a Magic Cannon: Max
身体超強化：爪牙	Super Enhanced Physical Ability: Claw, Tooth
能力値強化：番犬	Strengthened Attribute Values: Watchdog
闇のオーラ	Dark Aura
炎のブレス	Flame Breath
冷気無効	Frost Immunity
変身装具士	Transformable Gear Warrior
自己強化：殺業	Self-Reinforcement: Murder
ユリアーナ・アルクレム	Yuliana Alcrem
ユリアーナ	Yuliana
光属性無効	Light-Attribute Nullity
ホリー	Holly
アイザック・モークシー	Issac Moksi
アイザック	Issac
ロドリゲス	Rodriguez
エドモンド	Edmond
ゴードン	Gordon
神霊魔術	Divine Spirit Magic
神霊魔術師	Divine Spirit Mage
完全記録術	Perfect Recording
自己強化：水上	Self-Reinforcement: On Water
空中航行	Aerial Navigation
水中航行	Underwater Navigation
高速航行	High-Speed Navigation
能力値強化：被信仰	Strengthened Attribute Values: Target of Faith
魔力常時回復	Constant Mana Recovery
