<ruby><rb>一廣</rb><rp>（</rp><rt>かずひろ</rt><rp>）</rp></ruby>	Kazuhiro
かずひろ	Kazuhiro
カズヒホ	Kazuhiho
北瀬	Kitase
<ruby><rb>月</rb><rp>（</rp><rt>ザ・ムーン</rt><rp>）</rp></ruby>	Moon	Attribute
夢幻剣士	Illusory Swordsman	Class
<ruby><rb>愚直</rb><rp>（</rp><rt>ホーネスト</rt><rp>）</rp></ruby>	Reprise	Skill
<ruby><rb>愚直</rb><rp>（</rp><rt>オーネスト</rt><rp>）</rp></ruby>	Reprise	Skill
<ruby><rb>道を越えて</rb><rp>（</rp><rt>オーバーロード</rt><rp>）</rp></ruby>	Over the Road	Skill
<ruby><rb>道を越えて</rb><rp>（</rp><rt>オーバーロード</rt><rp>）</rp></ruby>	Overload	Skill
<ruby><rb>過負荷</rb><rp>（</rp><rt>オーバーロード</rt><rp>）</rp></ruby>	Overload	Skill
<ruby><rb>五重定義の過負荷</rb><rp>（</rp><rt>オーバーロード</rt><rp>）</rp></ruby>	Fivefold Overload
<ruby><rb>夢幻の如し</rb><rp>（</rp><rt>ファントム</rt><rp>）</rp></ruby>	Phantom Image	Skill
マリアーベル	Mariabelle
マリー	Marie
<ruby><rb>女教皇</rb><rp>（</rp><rt>ザ・ハイ・プリーステス</rt><rp>）</rp></ruby>	The High Priestess	Attribute
<ruby><rb>精霊と魔術の恩恵</rb><rp>（</rp><rt>ディバイン・ブレス</rt><rp>）</rp></ruby>	Divine Blessing	Skill
<ruby><rb>塔の監視者</rb><rp>（</rp><rt>プリズン・キーパー</rt><rp>）</rp></ruby>	Prison Keeper
<ruby><rb>精神体</rb><rp>（</rp><rt>アストラル・ボディ</rt><rp>）</rp></ruby>	astral body
<ruby><rb>魔導に目覚めし者</rb><rp>（</rp><rt>ウィザード・ガイダンス</rt><rp>）</rp></ruby>	Wizard Guidance
<ruby><rb>使役</rb><rp>（</rp><rt>レイバー</rt><rp>）</rp></ruby>	Labor
<ruby><rb>二重詠唱</rb><rp>（</rp><rt>ダブル</rt><rp>）</rp></ruby>	double casting
<ruby><rb>魔道竜</rb><rp>（</rp><rt>アークドラゴン</rt><rp>）</rp></ruby>	Arc Dragon	Race
<ruby><rb>隠蔽</rb><rp>（</rp><rt>ハイド</rt><rp>）</rp></ruby>	Hide
<ruby><rb>人型に成れ</rb><rp>（</rp><rt>ド・イオ・ナムフ・エモケブ</rt><rp>）</rp></ruby>	become humanoid	Skill
アリライ国	Arilai
アリライ	Arilai
ウリドラ	Wridra
<ruby><rb>宝石</rb><rp>（</rp><rt>コレクション</rt><rp>）</rp></ruby>	jewel(Collection)
<ruby><rb>お前は俺のもの</rb><rp>（</rp><rt>エンゲージメント</rt><rp>）</rp></ruby>	You are Mine(engagement)	skill
<ruby><rb>統主</rb><rp>（</rp><rt>マスター</rt><rp>）</rp></ruby>	Leader
<ruby><rb>幻影</rb><rp>（</rp><rt>ファントム</rt><rp>）</rp></ruby>	Phantom
<ruby><rb>技能</rb><rp>（</rp><rt>スキル</rt><rp>）</rp></ruby>	Skill
<ruby><rb>星くずの剣</rb><rp>（</rp><rt>アストロ</rt><rp>）</rp></ruby>	Astroblade
<ruby><rb>星くずの刃</rb><rp>（</rp><rt>アストロ</rt><rp>）</rp></ruby>	Astroblade
<ruby><rb>加速</rb><rp>（</rp><rt>アクセル</rt><rp>）</rp></ruby>	Acceleration	Skill
<ruby><rb>信号</rb><rp>（</rp><rt>シグナル</rt><rp>）</rp></ruby>	Signal
<ruby><rb>語彙</rb><rp>（</rp><rt>ごい</rt><rp>）</rp></ruby>	vocabulary
<ruby><rb>白銀</rb><rp>（</rp><rt>プラチナ</rt><rp>）</rp></ruby>	platinum
<ruby><rb>白金</rb><rp>（</rp><rt>プラチナ</rt><rp>）</rp></ruby>	platinum
<ruby><rb>連続攻撃</rb><rp>（</rp><rt>ラッシュ</rt><rp>）</rp></ruby>	Rush	Skill
<ruby><rb>取得</rb><rp>（</rp><rt>ドロップ</rt><rp>）</rp></ruby>	Drop
<ruby><rb>譲渡</rb><rp>（</rp><rt>ドロップ</rt><rp>）</rp></ruby>	Drop
<ruby><rb>死神の涙</rb><rp>（</rp><rt>タナトス</rt><rp>）</rp></ruby>	Grim Reaperr Tears (Thanatos)
<ruby><rb>霊薬</rb><rp>（</rp><rt>エリクシア</rt><rp>）</rp></ruby>	Elixir
<ruby><rb>霊薬</rb><rp>（</rp><rt>エレクシア</rt><rp>）</rp></ruby>	Elixir	Typo
<ruby><rb>紫水晶</rb><rp>（</rp><rt>アメシスト</rt><rp>）</rp></ruby>	amethyst
<ruby><rb>総主</rb><rp>（</rp><rt>マスター</rt><rp>）</rp></ruby>	Master
